BookingID,CustomerID,TourID,BookingDate,TravelDate,NumberOfPeople,TotalAmount,PaymentMode
1,22,27,2025-05-09,2026-09-20,5,8740,UPI
2,14,15,2025-07-14,2026-01-15,4,11780,UPI
3,19,39,2025-05-31,2026-01-11,4,2836,Debit Card
4,1,32,2025-03-24,2025-11-30,5,5255,Credit Card
5,12,37,2025-04-22,2025-11-05,4,10440,Credit Card
6,23,40,2025-05-29,2026-05-22,4,3272,UPI
7,15,47,2025-07-16,2026-07-24,3,2979,Cash
8,32,15,2025-02-07,2025-11-06,3,8835,Credit Card
9,5,18,2025-08-05,2026-04-04,5,13110,Credit Card
10,2,13,2025-03-17,2025-09-28,4,9972,UPI
11,1,42,2024-11-24,2025-09-30,5,6470,UPI
12,22,7,2024-11-17,2025-10-02,3,6603,Credit Card
13,23,34,2025-03-22,2025-11-26,3,7005,Cash
14,10,20,2025-05-24,2026-08-19,2,3726,UPI
15,8,40,2025-08-31,2025-11-27,4,3272,Debit Card
16,47,23,2025-01-08,2026-08-09,1,2654,Credit Card
17,21,31,2025-09-27,2026-07-25,1,559,UPI
18,48,25,2025-06-22,2026-04-05,5,3825,Debit Card
19,19,34,2025-01-01,2026-09-07,4,9340,Debit Card
20,14,32,2025-07-23,2026-01-26,4,4204,UPI
21,29,12,2024-11-29,2026-08-10,2,2466,UPI
22,30,31,2025-09-01,2026-05-23,4,2236,UPI
23,4,19,2025-06-27,2026-08-01,4,10496,Credit Card
24,17,7,2025-02-26,2025-09-29,3,6603,UPI
25,6,19,2025-05-30,2026-06-03,2,5248,Credit Card
26,36,2,2024-10-24,2025-12-01,1,2169,Debit Card
27,11,16,2024-11-17,2026-02-21,1,690,UPI
28,42,13,2025-03-22,2026-03-07,2,4986,Credit Card
29,25,5,2024-12-26,2026-02-11,2,5338,UPI
30,47,19,2024-11-08,2026-05-14,5,13120,Cash
31,16,6,2025-04-12,2025-12-04,4,11504,Cash
32,43,17,2025-03-13,2026-07-20,4,2124,UPI
33,43,24,2025-07-24,2026-04-29,1,777,UPI
34,46,30,2025-09-09,2026-05-05,3,6033,Debit Card
35,38,30,2025-01-15,2026-09-27,4,8044,Debit Card
36,24,33,2025-08-26,2026-05-26,5,11425,Cash
37,29,32,2024-11-12,2026-07-28,5,5255,Debit Card
38,17,35,2025-03-08,2026-06-20,4,6992,Debit Card
39,36,43,2024-10-31,2026-03-07,1,1729,Credit Card
40,46,14,2025-05-04,2025-10-04,3,7053,Debit Card
41,23,49,2025-07-13,2026-05-25,2,3464,Credit Card
42,6,27,2025-08-10,2025-12-30,3,5244,Cash
43,26,23,2025-02-18,2025-11-06,3,7962,Debit Card
44,43,48,2025-08-12,2026-01-24,4,6860,UPI
45,15,49,2024-11-30,2026-07-12,5,8660,Cash
46,23,28,2025-07-21,2026-06-11,5,10455,Credit Card
47,21,14,2025-01-20,2026-09-18,2,4702,UPI
48,11,36,2025-07-24,2026-09-19,1,1336,Credit Card
49,49,40,2025-01-16,2026-04-06,3,2454,UPI
50,7,33,2024-12-17,2026-03-11,2,4570,UPI
