payment_id,booking_id,paid_amount,paid_date,payment_method,status
1,1,0,2025-04-03,bank transfer,pending
2,2,50362,2022-06-18,cash,pending
3,3,0,2021-05-15,upi,pending
4,4,77274,2023-02-13,bank transfer,paid
5,5,6580,2023-07-31,upi,pending
6,6,37386,2019-08-12,upi,paid
7,7,9346,2021-09-18,cash,pending
8,8,178161,2021-11-24,upi,refunded
9,9,120072,2020-03-24,bank transfer,paid
10,10,132417,2025-07-04,upi,pending
11,11,40954,2023-10-03,card,pending
12,12,0,2025-02-06,card,pending
13,13,8390,2022-06-10,bank transfer,paid
14,14,25095,2021-08-10,bank transfer,pending
15,15,153974,2023-02-12,bank transfer,pending
16,16,108798,2024-04-02,cash,refunded
17,17,25825,2023-04-13,upi,pending
18,18,0,2019-05-06,bank transfer,pending
19,19,139578,2019-09-21,cash,pending
20,20,94352,2023-08-01,cash,paid
21,21,68464,2024-09-01,cash,paid
22,22,60036,2023-05-19,card,paid
23,23,99342,2025-03-20,upi,refunded
24,24,0,2020-03-11,upi,pending
25,25,0,2023-02-26,card,pending
26,26,122775,2020-02-27,bank transfer,paid
27,27,172563,2019-10-11,upi,paid
28,28,42598,2020-02-29,cash,paid
29,29,26322,2019-08-15,card,paid
30,30,74354,2019-10-24,upi,paid
31,31,0,2020-10-16,upi,pending
32,32,131904,2025-01-28,upi,paid
33,33,0,2019-04-05,card,pending
34,34,0,2022-01-23,bank transfer,refunded
35,35,74822,2019-10-15,card,pending
36,36,125905,2020-04-27,upi,paid
37,37,306328,2024-12-17,card,paid
38,38,0,2024-06-07,card,pending
39,39,0,2024-01-25,card,pending
40,40,187520,2020-07-25,upi,pending
41,41,48525,2022-10-03,upi,paid
42,42,208353,2023-11-14,card,pending
43,43,94352,2025-04-27,card,pending
44,44,51034,2022-11-04,card,pending
45,45,0,2023-12-01,cash,pending
46,46,62711,2024-04-28,cash,pending
47,47,0,2020-02-11,upi,pending
48,48,0,2025-05-19,bank transfer,pending
49,49,164904,2023-10-03,upi,paid
50,50,101740,2025-07-13,bank transfer,paid
51,51,348945,2020-05-08,bank transfer,paid
52,52,308560,2025-06-29,cash,pending
53,53,0,2025-04-29,cash,pending
54,54,160104,2019-06-16,bank transfer,pending
55,55,42268,2023-02-01,card,pending
56,56,0,2023-07-21,cash,refunded
57,57,129196,2025-01-08,upi,pending
58,58,0,2023-03-24,upi,pending
59,59,40838,2019-12-25,upi,pending
60,60,0,2020-01-01,cash,pending
61,61,0,2024-01-02,card,pending
62,62,0,2022-12-11,card,pending
63,63,75543,2024-07-24,bank transfer,pending
64,64,0,2025-10-08,cash,pending
65,65,196329,2020-07-21,cash,paid
66,66,0,2023-11-17,cash,pending
67,67,116586,2024-09-18,upi,refunded
68,68,0,2019-07-21,cash,pending
69,69,130752,2025-06-18,cash,pending
70,70,0,2022-04-27,cash,pending
71,71,0,2024-04-18,card,pending
72,72,233084,2024-01-01,upi,paid
73,73,63139,2022-11-23,bank transfer,refunded
74,74,235405,2020-06-05,upi,paid
75,75,23468,2022-12-17,card,paid
76,76,346660,2021-05-07,cash,paid
77,77,141528,2019-11-29,card,pending
78,78,0,2025-07-10,upi,pending
79,79,72859,2022-09-08,upi,pending
80,80,30672,2024-01-22,bank transfer,pending
81,81,28997,2023-01-01,cash,pending
82,82,132417,2019-08-29,card,paid
83,83,0,2025-09-10,upi,pending
84,84,0,2019-07-12,card,pending
85,85,64871,2024-06-20,cash,pending
86,86,0,2022-12-05,bank transfer,pending
87,87,0,2023-12-17,upi,pending
88,88,98220,2023-03-15,bank transfer,paid
89,89,129282,2025-10-12,bank transfer,paid
90,90,0,2020-02-20,card,pending
91,91,0,2020-10-31,cash,pending
92,92,0,2022-07-16,card,pending
93,93,0,2020-01-17,cash,pending
94,94,197856,2025-01-19,bank transfer,pending
95,95,0,2019-04-30,bank transfer,pending
96,96,42268,2024-07-16,bank transfer,pending
97,97,42760,2022-05-08,bank transfer,refunded
98,98,96921,2019-06-05,cash,pending
99,99,0,2025-10-18,cash,pending
100,100,32721,2020-12-30,bank transfer,pending
