review_id,booking_id,customer_id,rating,review_text,review_date
1,1,37,1.0,Good value for money.,2025-04-24
2,2,45,4.0,Loved the itinerary.,2022-11-23
3,3,59,,,
4,4,49,,,
5,5,38,3.0,Good value for money.,2023-09-24
6,6,88,5.0,Accommodation could improve.,2020-01-07
7,7,37,,,
8,8,25,,,
9,9,88,2.0,Would recommend.,2020-08-15
10,10,57,1.0,Good value for money.,2025-11-12
11,11,38,2.0,Would recommend.,2023-11-09
12,12,70,,,
13,13,33,5.0,Exceptional guide.,2022-09-18
14,14,10,2.0,Loved the itinerary.,2022-01-27
15,15,51,3.0,Friendly staff.,2023-04-13
16,16,69,2.0,Friendly staff.,2024-06-24
17,17,34,5.0,Friendly staff.,2023-10-19
18,18,30,,,
19,19,79,1.0,Good value for money.,2020-03-06
20,20,39,,,
21,21,5,,,
22,22,69,2.0,Friendly staff.,2023-10-08
23,23,96,1.0,Not as expected.,2025-07-11
24,24,20,3.0,Exceptional guide.,2020-07-22
25,25,36,4.0,Exceptional guide.,2023-05-29
26,26,31,1.0,Would recommend.,2020-06-20
27,27,83,4.0,Average service.,2020-01-14
28,28,16,3.0,Accommodation could improve.,2020-08-21
29,29,77,,,
30,30,73,4.0,Would recommend.,2020-04-23
31,31,30,5.0,Good value for money.,2021-02-23
32,32,19,1.0,Exceptional guide.,2025-05-01
33,33,4,1.0,Amazing experience!,2019-06-27
34,34,3,,,
35,35,68,,,
36,36,66,2.0,Accommodation could improve.,2020-09-20
37,37,79,3.0,Average service.,2025-03-18
38,38,4,5.0,Not as expected.,2024-10-03
39,39,63,,,
40,40,19,1.0,Very well organized.,2020-09-18
41,41,71,2.0,Average service.,2023-01-13
42,42,59,1.0,Exceptional guide.,2024-01-01
43,43,84,4.0,Exceptional guide.,2025-06-13
44,44,30,1.0,Very well organized.,2023-03-01
45,45,13,,,
46,46,20,,,
47,47,12,,,
48,48,76,4.0,Amazing experience!,2025-08-25
49,49,46,3.0,Loved the itinerary.,2023-11-07
50,50,46,5.0,Not as expected.,2025-12-27
51,51,62,5.0,Friendly staff.,2020-07-01
52,52,98,1.0,Very well organized.,2025-09-05
53,53,99,,,
54,54,89,3.0,Would recommend.,2019-07-04
55,55,40,4.0,Loved the itinerary.,2022-12-19
56,56,73,2.0,Accommodation could improve.,2023-09-14
57,57,4,4.0,Would recommend.,2025-03-23
58,58,44,,,
59,59,73,5.0,Accommodation could improve.,2020-01-14
60,60,80,5.0,Exceptional guide.,2020-03-24
61,61,63,5.0,Loved the itinerary.,2024-05-09
62,62,66,,,
63,63,87,1.0,Accommodation could improve.,2024-11-26
64,64,29,4.0,Friendly staff.,2025-10-31
65,65,28,,,
66,66,1,,,
67,67,91,1.0,Friendly staff.,2025-02-08
68,68,10,5.0,Friendly staff.,2019-11-03
69,69,10,,,
70,70,82,2.0,Loved the itinerary.,2022-06-16
71,71,42,,,
72,72,14,,,
73,73,51,2.0,Amazing experience!,2023-01-30
74,74,10,,,
75,75,100,1.0,Not as expected.,2023-06-20
76,76,19,4.0,Average service.,2021-06-05
77,77,98,5.0,Not as expected.,2020-02-21
78,78,97,,,
79,79,73,,,
80,80,9,,,
81,81,76,5.0,Accommodation could improve.,2023-06-09
82,82,58,4.0,Accommodation could improve.,2019-12-13
83,83,12,5.0,Accommodation could improve.,2026-02-17
84,84,71,3.0,Friendly staff.,2019-11-18
85,85,42,2.0,Exceptional guide.,2024-10-20
86,86,58,3.0,Exceptional guide.,2023-01-20
87,87,6,4.0,Accommodation could improve.,2024-04-27
88,88,21,3.0,Exceptional guide.,2023-06-03
89,89,44,5.0,Very well organized.,2025-12-01
90,90,9,,,
91,91,33,,,
92,92,19,,,
93,93,17,,,
94,94,43,3.0,Good value for money.,2025-01-18
95,95,66,,,
96,96,28,4.0,Average service.,2024-08-22
97,97,20,,,
98,98,95,5.0,Exceptional guide.,2019-12-06
99,99,80,5.0,Average service.,2026-01-09
100,100,89,5.0,Average service.,2021-04-18
