tour_id,tour_name,destination,duration_days,price,season,max_capacity
1,Manali Experience 2,Manali,3,35311,summer,32
2,Agra Experience 2,Agra,2,59377,summer,20
3,Mysore Experience 4,Mysore,5,13161,monsoon,36
4,Mumbai Experience 4,Mumbai,7,7560,winter,22
5,Sikkim Experience 1,Sikkim,4,44139,summer,37
6,Mumbai Experience 5,Mumbai,10,76582,winter,38
7,Andaman Experience 4,Andaman,3,40774,summer,25
8,Goa Experience 4,Goa,4,57994,winter,15
9,Pondicherry Experience 2,Pondicherry,7,75008,monsoon,39
10,Hyderabad Experience 5,Hyderabad,7,8552,monsoon,30
11,Mumbai Experience 2,Mumbai,5,28819,monsoon,18
12,Hyderabad Experience 3,Hyderabad,3,64598,summer,20
13,Hyderabad Experience 3,Hyderabad,5,38065,monsoon,25
14,Goa Experience 5,Goa,2,50870,monsoon,30
15,Manali Experience 1,Manali,2,37411,monsoon,36
16,Goa Experience 5,Goa,3,36266,monsoon,25
17,Kerala Backwaters Experience 5,Kerala Backwaters,3,65952,winter,18
18,Varanasi Experience 2,Varanasi,7,20012,monsoon,40
19,Kovalam Experience 1,Kovalam,7,8365,summer,28
20,Hyderabad Experience 4,Hyderabad,10,30995,monsoon,28
21,Andaman Experience 1,Andaman,10,44529,winter,29
22,Kerala Backwaters Experience 5,Kerala Backwaters,2,50508,winter,23
23,Varanasi Experience 1,Varanasi,7,49725,monsoon,37
24,Mumbai Experience 4,Mumbai,2,61822,summer,30
25,Pondicherry Experience 2,Pondicherry,5,28086,winter,26
26,Darjeeling Experience 5,Darjeeling,7,68372,summer,23
27,Hampi Experience 3,Hampi,4,37177,monsoon,18
28,Pondicherry Experience 2,Pondicherry,5,79691,winter,31
29,Hyderabad Experience 3,Hyderabad,2,69789,summer,15
30,Sikkim Experience 2,Sikkim,4,38862,summer,18
31,Sundarbans Experience 3,Sundarbans,7,6330,winter,40
32,Leh-Ladakh Experience 1,Leh-Ladakh,3,58271,summer,27
33,Andaman Experience 4,Andaman,10,69332,summer,35
34,Goa Experience 1,Goa,4,34045,summer,32
35,Andaman Experience 3,Andaman,10,53368,summer,27
36,Ooty Experience 3,Ooty,5,77140,summer,21
37,Pondicherry Experience 3,Pondicherry,4,37951,monsoon,13
38,Leh-Ladakh Experience 3,Leh-Ladakh,2,75236,winter,15
39,Leh-Ladakh Experience 2,Leh-Ladakh,10,68464,summer,33
40,Hampi Experience 5,Hampi,7,42093,monsoon,36
41,Leh-Ladakh Experience 3,Leh-Ladakh,3,52301,monsoon,19
42,Goa Experience 5,Goa,3,40954,monsoon,11
43,Mysore Experience 3,Mysore,10,21551,winter,37
44,Sikkim Experience 1,Sikkim,2,42268,summer,25
45,Pondicherry Experience 3,Pondicherry,3,11734,summer,40
46,Sikkim Experience 1,Sikkim,2,57521,summer,12
47,Hampi Experience 1,Hampi,3,24555,winter,40
48,Kovalam Experience 1,Kovalam,3,20525,winter,34
49,Mumbai Experience 5,Mumbai,7,34581,winter,22
50,Pondicherry Experience 4,Pondicherry,4,61207,summer,28
51,Sundarbans Experience 1,Sundarbans,7,18006,monsoon,30
52,Leh-Ladakh Experience 3,Leh-Ladakh,10,15641,monsoon,17
53,Rishikesh Experience 5,Rishikesh,2,25517,monsoon,23
54,Pondicherry Experience 5,Pondicherry,5,43175,monsoon,17
55,Kovalam Experience 3,Kovalam,10,64510,monsoon,31
56,Andaman Experience 3,Andaman,10,30928,summer,13
57,Mysore Experience 2,Mysore,10,24528,summer,36
58,Agra Experience 1,Agra,2,26747,summer,29
59,Hampi Experience 3,Hampi,5,21299,summer,32
60,Kovalam Experience 4,Kovalam,4,70597,winter,25
61,Pondicherry Experience 1,Pondicherry,7,10224,summer,33
62,Kashmir Experience 5,Kashmir,4,8390,monsoon,17
63,Hampi Experience 5,Hampi,2,40325,winter,11
64,Rishikesh Experience 4,Rishikesh,7,62963,summer,15
65,Hampi Experience 4,Hampi,10,69451,monsoon,25
66,Varanasi Experience 4,Varanasi,4,47081,winter,13
67,Rishikesh Experience 3,Rishikesh,5,69942,summer,31
68,Hyderabad Experience 5,Hyderabad,2,64614,monsoon,20
69,Darjeeling Experience 3,Darjeeling,2,57976,winter,36
70,Goa Experience 5,Goa,5,59165,monsoon,16
71,Ooty Experience 3,Ooty,7,70338,winter,24
72,Jaipur Experience 2,Jaipur,4,76987,monsoon,39
73,Kovalam Experience 4,Kovalam,10,68532,monsoon,10
74,Sundarbans Experience 2,Sundarbans,10,25758,summer,27
75,Goa Experience 5,Goa,5,17217,monsoon,36
76,Kerala Backwaters Experience 4,Kerala Backwaters,2,25181,summer,39
77,Kovalam Experience 5,Kovalam,10,40838,summer,36
78,Sikkim Experience 4,Sikkim,3,64871,winter,14
79,Hyderabad Experience 2,Hyderabad,7,71616,winter,38
80,Agra Experience 1,Agra,4,59387,summer,39
81,Ooty Experience 3,Ooty,2,42072,winter,19
82,Hampi Experience 5,Hampi,10,69178,monsoon,24
83,Mysore Experience 4,Mysore,4,48573,winter,34
84,Mysore Experience 4,Mysore,5,47176,monsoon,32
85,Andaman Experience 5,Andaman,5,35613,summer,11
86,Kashmir Experience 4,Kashmir,10,54968,summer,31
87,Agra Experience 4,Agra,2,21547,winter,40
88,Hampi Experience 3,Hampi,2,62711,monsoon,26
89,Pondicherry Experience 1,Pondicherry,10,23894,summer,37
90,Agra Experience 1,Agra,5,39737,summer,29
91,Hyderabad Experience 1,Hyderabad,4,74942,summer,40
92,Kashmir Experience 4,Kashmir,7,9705,winter,12
93,Andaman Experience 3,Andaman,3,16846,summer,13
94,Kerala Backwaters Experience 4,Kerala Backwaters,3,44251,monsoon,11
95,Kashmir Experience 1,Kashmir,4,51984,summer,23
96,Agra Experience 2,Agra,7,59008,winter,31
97,Rishikesh Experience 2,Rishikesh,3,15350,winter,37
98,Hyderabad Experience 5,Hyderabad,10,36566,summer,39
99,Hampi Experience 2,Hampi,3,65443,winter,18
100,Pondicherry Experience 3,Pondicherry,10,6231,summer,38
